model	score
target	0.84499
target	0.08664
target	0.21851
target	0.69862
target	0.98946
target	0.82237
target	0.53838
target	0.94893
target	0.93821
target	0.66330
target	0.13860
target	0.92030
target	0.04392
target	0.99905
target	0.89329
target	0.86890
target	0.39120
target	0.99224
target	0.61065
target	0.21846
target	0.89993
target	0.59748
target	0.70023
target	0.26481
target	0.18818
target	0.26122
target	0.08871
target	0.68482
target	0.98225
target	0.12586
target	0.15441
target	0.40227
target	0.43668
target	0.49675
target	0.33749
target	0.70844
target	0.47705
target	0.42671
target	0.16529
target	0.67013
target	0.34669
target	0.98272
target	0.10344
target	0.91965
target	0.38756
target	0.87372
target	0.50916
target	0.67476
target	0.39396
target	0.48293
target	0.48669
target	0.49603
target	0.51584
target	0.21397
target	0.64974
target	0.68736
target	0.81565
target	0.50635
target	0.99030
target	0.28702
target	0.92378
target	0.99505
target	0.40336
target	0.20344
target	0.58565
target	0.19248
target	0.47579
target	0.20916
target	0.10337
target	0.70002
target	0.86805
target	0.92012
target	0.34882
target	0.24436
target	0.61709
target	0.27710
target	0.93911
target	0.06357
target	0.39077
target	0.43786
target	0.94406
target	0.50476
target	0.18410
target	0.21676
target	0.76182
target	0.25231
target	0.52325
target	0.63220
target	0.85643
target	0.28733
target	0.44542
target	0.28349
target	0.85990
target	0.17494
target	0.17891
target	0.38711
target	0.91542
target	0.98734
target	0.96228
target	0.93481
target	0.97599
target	0.23875
target	0.31657
target	0.57656
target	0.37628
target	0.20024
target	0.08731
target	0.39994
target	0.94013
target	0.73972
target	0.29883
target	0.48970
target	0.91489
target	0.27891
target	0.98685
target	0.60767
target	0.31156
target	0.13512
target	0.47084
target	0.99875
target	0.35548
target	0.32882
target	0.55232
target	0.99965
target	0.44712
target	0.44162
target	0.42079
target	0.35593
target	0.35515
target	0.12812
target	0.33538
target	0.53382
target	0.86408
target	0.49561
target	0.21736
target	0.84836
target	0.23431
target	0.45389
target	0.99963
target	0.10871
target	0.10995
target	0.36271
target	0.38694
target	0.26615
target	0.35430
target	0.73196
target	0.29052
target	0.41148
target	0.23352
target	0.39871
target	0.17843
target	0.39304
target	0.34778
target	0.65361
target	0.21253
target	0.44423
target	0.05622
target	0.22306
target	0.99728
target	0.25183
target	0.95826
target	0.61866
target	0.26918
target	0.58079
target	0.30871
target	0.48604
target	0.62782
target	0.86618
target	0.30841
target	0.42462
target	0.61104
target	0.86932
target	0.40240
target	0.38992
target	0.48982
target	0.17992
target	0.89789
target	0.17367
target	0.50155
target	0.55101
target	0.51674
target	0.75814
target	0.61296
target	0.99953
target	0.27418
target	0.81241
target	0.44430
target	0.94207
target	0.59931
target	0.08443
target	0.21640
target	0.55452
target	0.35583
target	0.24360
target	0.28726
target	0.44533
target	0.35851
target	0.83209
target	0.97671
target	0.38465
target	0.88792
target	0.21431
target	0.26862
target	0.32604
target	0.85839
target	0.98486
target	0.29214
target	0.74926
target	0.96178
target	0.48846
target	0.73457
target	0.05555
target	0.23710
target	0.69341
target	0.39959
target	0.43384
target	0.00514
target	0.93381
target	0.41145
target	0.39583
target	0.18089
target	0.27267
target	0.98973
target	0.30839
target	0.44764
target	0.34497
target	0.16755
target	0.95697
target	0.98747
target	0.30095
target	0.64933
target	0.76010
target	0.75246
target	0.87973
target	0.38900
target	0.49127
target	0.09104
target	0.55220
target	0.27466
target	0.65828
target	0.90050
target	0.91275
target	0.36206
target	0.70023
target	0.50659
target	0.55341
target	0.18033
target	0.30648
target	0.92110
target	0.78147
target	0.07519
target	0.61621
target	0.18578
target	0.55294
target	0.73502
target	0.37549
target	0.44728
target	0.24759
target	0.98250
target	0.34449
target	0.94634
target	0.72699
target	0.12257
target	0.24210
target	0.73129
target	0.89286
target	0.35422
target	0.97835
target	0.89836
target	0.99357
target	0.25084
target	0.13407
target	0.57690
target	0.23583
target	0.42242
target	0.45094
target	0.99221
target	0.43109
target	0.36023
target	0.81458
target	0.93709
target	0.85930
target	0.40361
target	0.50295
target	0.90377
target	0.89012
target	0.56101
target	0.91359
target	0.33452
target	0.53673
target	0.37185
target	0.39723
target	0.25038
target	0.98817
target	0.28829
target	0.22278
target	0.51609
target	0.46537
target	0.25829
target	0.57008
target	0.16223
target	0.95947
target	0.84210
target	0.53129
target	0.94013
target	0.25160
target	0.49449
target	0.26050
target	0.41793
target	0.42770
target	0.31895
target	0.29870
target	0.68104
target	0.57109
target	0.30202
target	0.12568
target	0.99776
target	0.34253
target	0.99498
target	0.00302
target	0.04357
target	0.31306
target	0.87017
target	0.85676
target	0.51730
target	0.20368
target	0.23882
target	0.96626
target	0.95271
target	0.90307
target	0.28580
target	0.56228
target	0.34803
target	0.96005
target	0.10020
target	0.18731
target	0.55625
target	0.13478
target	0.67573
target	0.08404
target	0.40776
target	0.34672
target	0.45701
target	0.70062
target	0.61677
target	0.64665
target	0.60131
target	0.93802
target	0.24290
target	0.26011
target	0.29553
target	0.26549
target	0.77835
target	0.47862
target	0.48956
target	0.73063
target	0.32796
target	0.02764
target	0.18715
target	0.40862
target	0.95667
target	0.10699
target	0.48495
target	0.99879
target	0.16356
target	0.82677
target	0.55493
target	0.61098
target	0.47259
target	0.96761
target	0.96914
target	0.52725
target	0.32081
target	0.43902
target	0.45622
target	0.96286
target	0.00596
target	0.31178
target	0.94064
target	0.99488
target	0.10809
target	0.15085
target	0.14438
target	0.36027
target	0.85772
target	0.97155
target	0.58588
target	0.40838
target	0.96256
target	0.61039
target	0.43194
target	0.58421
target	0.31194
target	0.17706
target	0.63303
target	0.30449
target	0.19630
target	0.00520
target	0.66377
target	0.48041
target	0.32009
target	0.42015
target	0.46430
target	0.36455
target	0.31430
target	0.45002
target	0.97783
target	0.61923
target	0.55978
target	0.99750
target	0.38738
target	0.83649
target	0.94695
target	0.78180
target	0.92710
target	0.40473
target	0.85872
target	0.25198
