mono_mass	mz	charge	rt	intensity	detection
860.46032	431.23744	2	18.0841		PSM
860.46032	431.23744	2	22.7911		PSM
860.46032	431.23744	2	28.9343		PSM
860.49672	431.25564	2	33.0806		PSM
860.49672	431.25564	2	35.0306		PSM
860.54842	431.28149	2	38.4209		PSM
861.37162	431.69309	2	19.3116		PSM
861.44432	431.72944	2	27.4952		PSM
861.47822	431.74639	2	59.4987		PSM
861.49602	431.75529	2	54.0542		PSM
861.49602	431.75529	2	58.3246		PSM
862.45082	432.23269	2	19.2665		PSM
862.45482	432.23469	2	31.8432		PSM
862.45482	432.23469	2	33.2027		PSM
862.47352	432.24404	2	51.1612		PSM
863.40582	432.71019	2	23.8466		PSM
863.45012	432.73234	2	35.5306		PSM
863.47522	432.74489	2	46.7532		PSM
863.48652	432.75054	2	48.0691		PSM
863.49772	432.75614	2	23.6221		PSM
864.38992	433.20224	2	19.3207		PSM
864.43752	433.22604	2	22.5654		PSM
864.44532	433.22994	2	23.4769		PSM
864.44532	433.22994	2	29.8158		PSM
864.44942	433.23199	2	37.7983		PSM
864.44942	433.23199	2	42.8097		PSM
864.45272	433.23364	2	46.9516		PSM
865.43682	433.72569	2	36.1859		PSM
865.46982	433.74219	2	47.9279		PSM
865.50212	433.75834	2	19.4369		PSM
866.44192	434.22824	2	18.7979		PSM
867.41992	434.71724	2	18.0243		PSM
867.47022	434.74239	2	29.0507		PSM
867.47492	434.74474	2	25.1282		PSM
868.44432	435.22944	2	46.2125		PSM
868.47662	435.24559	2	25.5275		PSM
868.50182	435.25819	2	36.3915		PSM
869.38792	435.70124	2	19.6560		PSM
869.42832	435.72144	2	34.7549		PSM
869.42832	435.72144	2	39.3075		PSM
869.48582	435.75019	2	39.3075		PSM
869.49702	435.75579	2	32.1908		PSM
869.50832	435.76144	2	35.8117		PSM
869.53342	435.77399	2	37.0903		PSM
870.40242	436.20849	2	23.4731		PSM
870.41232	436.21344	2	36.2091		PSM
870.41232	436.21344	2	44.1686		PSM
870.43482	436.22469	2	20.4082		PSM
870.44472	436.22964	2	31.1148		PSM
870.46332	436.23894	2	21.1728		PSM
871.42222	436.71839	2	19.4450		PSM
871.43402	436.72429	2	52.0278		PSM
871.51272	436.76364	2	29.3684		PSM
872.36642	437.19049	2	31.5871		PSM
872.43522	437.22489	2	25.7630		PSM
872.47162	437.24309	2	25.0683		PSM
872.47162	437.24309	2	26.2604		PSM
872.49672	437.25564	2	26.8614		PSM
872.51202	437.26329	2	65.6505		PSM
873.37292	437.69374	2	17.3761		PSM
873.40552	437.71004	2	36.5247		PSM
873.41922	437.71689	2	23.6340		PSM
873.42322	437.71889	2	27.1095		PSM
873.42452	437.71954	2	31.5871		PSM
873.44432	437.72944	2	38.0968		PSM
873.47082	437.74269	2	32.1201		PSM
873.48072	437.74764	2	37.8331		PSM
873.48072	437.74764	2	50.4371		PSM
873.49202	437.75329	2	43.0815		PSM
873.53572	437.77514	2	58.3272		PSM
874.41442	438.21449	2	19.7203		PSM
874.43962	438.22709	2	20.0869		PSM
874.49122	438.25289	2	27.5045		PSM
875.41712	438.71584	2	35.4030		PSM
875.51162	438.76309	2	50.8668		PSM
876.41892	439.21674	2	16.8974		PSM
876.44532	439.22994	2	28.0203		PSM
876.44872	439.23164	2	28.2000		PSM
876.45272	439.23364	2	46.9259		PSM
876.47052	439.24254	2	35.5966		PSM
876.48172	439.24814	2	35.0474		PSM
877.42152	439.71804	2	22.1687		PSM
877.42942	439.72199	2	27.4354		PSM
877.43682	439.72569	2	44.2604		PSM
877.43682	439.72569	2	47.9123		PSM
877.47312	439.74384	2	52.9556		PSM
877.50212	439.75834	2	28.6596		PSM
877.51342	439.76399	2	29.8209		PSM
877.54972	439.78214	2	38.4779		PSM
878.46842	440.24149	2	47.1817		PSM
878.49022	440.25239	2	63.0893		PSM
879.39742	440.70599	2	20.8800		PSM
879.42392	440.71924	2	28.1688		PSM
879.43382	440.72419	2	28.8483		PSM
879.44502	440.72979	2	35.2616		PSM
879.47022	440.74239	2	28.3825		PSM
879.52182	440.76819	2	68.5829		PSM
880.47662	441.24559	2	18.4853		PSM
881.41302	441.71379	2	16.3476		PSM
881.44292	441.72874	2	21.4267		PSM
881.44942	441.73199	2	32.2125		PSM
882.45212	442.23334	2	35.6228		PSM
882.46982	442.24219	2	26.9446		PSM
882.53272	442.27364	2	25.4916		PSM
883.41092	442.71274	2	27.2494		PSM
883.44392	442.72924	2	35.1583		PSM
883.44392	442.72924	2	40.7593		PSM
883.48032	442.74744	2	35.1583		PSM
883.49162	442.75309	2	35.4363		PSM
883.51272	442.76364	2	35.0401		PSM
884.39882	443.20669	2	17.9818		PSM
884.40282	443.20869	2	32.3084		PSM
884.43922	443.22689	2	37.5440		PSM
884.51202	443.26329	2	29.7345		PSM
884.53312	443.27384	2	30.3073		PSM
885.43042	443.72249	2	18.7260		PSM
885.43442	443.72449	2	29.7345		PSM
885.46682	443.74069	2	30.1852		PSM
885.48212	443.74834	2	40.2399		PSM
885.52832	443.77144	2	34.2240		PSM
886.42592	444.22024	2	50.9944		PSM
886.45892	444.23674	2	50.9944		PSM
886.48722	444.25089	2	23.5890		PSM
886.49462	444.25459	2	39.0791		PSM
886.51242	444.26349	2	21.2091		PSM
886.54872	444.28164	2	29.1638		PSM
887.43482	444.72469	2	17.9076		PSM
887.47122	444.74289	2	27.3190		PSM
887.48652	444.75054	2	31.1571		PSM
887.52292	444.76874	2	59.2196		PSM
888.46652	445.24054	2	19.8721		PSM
888.49162	445.25309	2	21.8085		PSM
888.49162	445.25309	2	22.3651		PSM
888.49162	445.25309	2	36.7205		PSM
889.43342	445.72399	2	42.9626		PSM
889.45052	445.73254	2	29.0199		PSM
889.46172	445.73814	2	18.5593		PSM
889.53072	445.77264	2	48.2948		PSM
890.43272	446.22364	2	60.1744		PSM
890.43452	446.22454	2	20.0937		PSM
890.44982	446.23219	2	31.5421		PSM
890.46102	446.23779	2	39.7771		PSM
890.49742	446.25599	2	23.2459		PSM
891.44502	446.72979	2	31.7900		PSM
891.48142	446.74799	2	39.0285		PSM
891.49132	446.75294	2	17.1771		PSM
892.39262	447.20359	2	26.3995		PSM
892.44362	447.22909	2	26.5673		PSM
892.44772	447.23114	2	38.9002		PSM
892.45552	447.23504	2	37.0213		PSM
892.46672	447.24064	2	20.7015		PSM
892.50182	447.25819	2	38.2531		PSM
892.53822	447.27639	2	37.5800		PSM
893.42432	447.71944	2	36.6328		PSM
893.43172	447.72314	2	39.0285		PSM
893.46072	447.73764	2	18.3434		PSM
893.53752	447.77604	2	66.9137		PSM
894.39442	448.20449	2	19.8231		PSM
894.46332	448.23894	2	40.2533		PSM
895.43742	448.72599	2	63.1081		PSM
