Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
590.81525	70.5450	70.6466	71.1320	2	z2:590.8152	1	2	1179.61594	590.81525	1.0160e8	1	1
625.39374	152.6552	153.1506	153.6474	1	z1:625.3937	1	1	624.38646	625.39374	1.0159e8	1	1
659.33923	85.1093	85.3639	85.8305	2	z2:659.3392	1	2	1316.66391	659.33923	1.0159e8	1	1
743.37134	52.3022	52.5322	52.8287	2	z2:743.3713	1	2	1484.72812	743.37134	1.0158e8	1	1
689.84766	72.7852	73.2613	73.7549	2	z2:689.8477	1	2	1377.68076	689.84766	1.0158e8	1	1
601.28040	37.6952	37.8819	38.0872	4;5	z4:751.0980;z5:601.2804	2	5	2999.35963	600.87920	1.0158e8	1	2
972.48151	111.4833	111.9035	112.1671	3	z3:972.4815	1	3	2913.41933	972.14705	1.0158e8	1	1
491.23862	65.2686	65.5929	66.0834	2	z2:491.2386	1	2	981.46604	491.74029	1.0157e8	1	1
679.69354	78.1871	78.3927	78.7557	3	z3:679.6935	1	3	2036.05880	679.69354	1.0157e8	1	1
590.81506	84.1195	84.4840	84.7974	4	z4:590.8151	1	4	2359.23115	590.81506	1.0156e8	1	1
737.42267	129.1679	129.6235	130.1079	2	z2:737.4227	1	2	1472.83078	737.42267	1.0154e8	1	1
484.75629	39.2100	39.4088	39.8115	2	z2:484.7563	1	2	967.49802	484.75629	1.0154e8	1	1
599.84460	76.2321	76.4326	76.9267	2	z2:599.8446	1	2	1197.67466	599.84460	1.0154e8	1	1
617.30115	53.6287	53.6287	54.1287	3	z3:617.3011	1	3	1848.88161	617.30115	1.0153e8	1	1
418.22488	70.2715	70.4522	70.9481	2;3	z2:626.3339;z3:418.2249	2	3	1250.65317	417.89167	1.0150e8	1	2
446.25818	60.6726	61.1599	61.6500	3	z3:446.2582	1	3	1335.75271	446.25818	1.0150e8	1	1
754.08533	50.4914	50.9903	51.1296	3;4	z3:1005.4457;z4:754.0853	2	4	3011.30884	753.83449	1.0150e8	2	2
807.35242	71.7172	72.0196	72.1600	3	z3:807.3524	1	3	2419.03542	807.35242	1.0150e8	1	1
775.95111	118.8257	119.1638	119.6504	2	z2:775.9511	1	2	1549.88767	775.95111	1.0149e8	1	1
635.64783	71.4946	71.7542	72.0196	6	z6:635.6478	1	6	3806.83995	635.48060	1.0149e8	1	1
707.82184	56.0097	56.4492	56.7046	2	z2:707.8218	1	2	1412.62577	707.32016	1.0148e8	1	1
593.31702	75.4677	75.7266	75.9051	2	z2:593.3170	1	2	1184.61948	593.31702	1.0148e8	1	1
480.77948	135.7005	136.1981	136.6766	2	z2:480.7795	1	2	959.54441	480.77948	1.0148e8	1	1
538.36053	86.0283	86.5069	86.9970	1	z1:538.3605	1	1	537.35326	538.36053	1.0147e8	1	1
616.65295	60.1584	60.4698	60.9669	3	z3:616.6530	1	3	1846.93703	616.65295	1.0147e8	1	1
668.32361	46.7747	47.2725	47.5025	2	z2:668.3236	1	2	1334.63266	668.32361	1.0145e8	1	1
730.89301	92.8458	93.1061	93.3216	6	z6:730.8930	1	6	4377.30766	730.55855	1.0144e8	1	1
416.19305	73.3268	73.5902	74.0035	2;3	z2:624.2870;z3:416.1931	2	3	1245.55733	416.19305	1.0143e8	1	2
842.90436	74.4518	74.6640	75.1256	6	z6:842.9044	1	6	5049.37578	842.56991	1.0142e8	1	1
638.32050	43.6017	43.7057	44.0682	4;5	z4:797.6481;z5:638.3205	2	5	3184.55918	637.91911	1.0142e8	2	2
525.60699	38.9134	39.1877	39.6642	3	z3:525.6070	1	3	1572.79580	525.27254	1.0141e8	1	1
1072.00378	106.5470	106.7771	107.0184	2	z2:1072.0038	1	2	2140.98966	1071.50211	1.0141e8	1	1
624.43256	153.6217	153.8183	154.0679	2	z2:624.4326	1	2	1246.85056	624.43256	1.0140e8	1	1
607.35583	101.2814	101.5343	102.0252	2	z2:607.3558	1	2	1212.69712	607.35583	1.0140e8	1	1
438.75079	58.2619	58.6085	59.0654	2	z2:438.7508	1	2	875.48703	438.75079	1.0139e8	1	1
723.54346	101.6707	102.0141	102.2135	4;5	z4:904.4283;z5:723.5435	2	5	3611.67752	723.34278	1.0139e8	2	2
431.22702	51.5274	51.8984	52.2861	3	z3:431.2270	1	3	1290.65923	431.22702	1.0139e8	1	1
463.89948	49.3977	49.8579	50.3458	3	z3:463.8995	1	3	1388.67660	463.89948	1.0137e8	1	1
551.32184	100.5537	100.8757	101.3744	3	z3:551.3218	1	3	1649.94033	550.98739	1.0136e8	1	1
480.66867	30.1158	30.4160	30.9148	2	z2:480.6687	1	2	959.32279	480.66867	1.0136e8	1	1
486.24368	34.4938	34.7282	35.2139	2	z2:486.2437	1	2	970.47281	486.24368	1.0136e8	1	1
776.90039	100.6367	101.0488	101.0996	2	z2:776.9004	1	2	1551.78623	776.90039	1.0135e8	1	1
628.79492	73.2427	73.4430	73.8316	2	z2:628.7949	1	2	1255.57529	628.79492	1.0135e8	1	1
816.42273	102.2395	102.7290	102.9419	3	z3:816.4227	1	3	2443.23629	815.41937	1.0135e8	1	1
622.33142	74.4729	74.4729	74.9597	2	z2:622.3314	1	2	1242.64829	622.33142	1.0134e8	1	1
1003.88843	107.9746	108.3273	108.5315	5	z5:1003.8884	1	5	5012.39905	1003.48709	1.0133e8	1	1
451.59787	51.6447	51.8513	52.1201	2;3	z2:676.8939;z3:451.5979	2	3	1350.76843	451.26342	1.0133e8	1	2
680.58710	79.4489	79.9478	80.1063	4	z4:680.5871	1	4	2716.31257	680.08542	1.0133e8	1	1
699.77789	99.9885	100.3145	100.5760	5;6	z5:699.7779;z6:583.6529	2	5	3492.84973	699.57722	1.0133e8	1	2
413.90311	74.0888	74.4307	74.9239	2;3	z2:620.3521;z3:413.9031	2	3	1238.68818	413.90334	1.0133e8	2	2
688.66742	140.3628	140.7010	141.1952	3	z3:688.6674	1	3	2061.97707	688.33297	1.0133e8	1	1
787.90527	76.2940	76.5501	76.8842	2	z2:787.9053	1	2	1573.79599	787.90527	1.0131e8	1	1
