mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1538.90319	513.97504	3	127.4632	3.1085e+05	1	rt_miss	0.5399	3	15.33	-55.1251	3
1190.64077	596.32800	2	26.1075	3.1167e+05	1	rt_miss	9.1064	2	-17.78	42.7228	2
1271.74490	636.88080	2	84.0736	3.1368e+05	1	rt_miss	4.6222	2	14.55	18.1226	1;2
1486.87189	744.44373	2	153.3210	3.1629e+05	1	rt_miss	-4.5312	2	-14.18	-36.3076	2
1179.61355	590.81586	2	128.5550	3.1684e+05	1	rt_miss	-0.3946	2	-16.66	-67.8452	2
943.57763	472.79663	2	93.9974	3.1997e+05	1	rt_miss	-1.2768	2	15.57	50.6900	2
1300.59692	651.30737	2	43.8207	3.2113e+05	1	rt_miss	-0.6402	2	16.59	17.0561	2
2750.35114	918.12604	3	126.3719	3.2198e+05	1	rt_miss	0.3924	3	19.95	-33.1245	4
1569.88788	785.95251	2	155.5115	3.2427e+05	1	rt_miss	-6.8600	2	18.99	-36.3181	2
2014.03712	672.68811	3	130.4156	3.2452e+05	1	rt_miss	0.3731	4	18.66	-69.0402	4
1163.62987	582.82428	2	94.2859	3.2709e+05	1	rt_miss	-0.3853	2	13.84	-39.8512	2
1209.57784	404.20007	3	51.4866	3.2747e+05	1	rt_miss	0.3213	3	16.96	65.0292	2
1119.59242	560.80328	2	30.6408	3.2874e+05	1	rt_miss	0.7518	2	-18.35	68.9239	2
1239.52890	620.77289	2	27.4166	3.2981e+05	1	rt_miss	10.6706	3	-13.18	10.6706	3
1599.81041	534.27832	3	31.2628	3.3074e+05	1	rt_miss	-2.2208	3	-19.40	11.1172	3
1168.70673	585.36127	2	150.6646	3.3236e+05	1	rt_miss	-3.4159	2	5.18	-38.7611	1;2
3061.58595	1021.87134	3	155.1475	3.3267e+05	1	rt_miss	-3.1453	3	13.89	-105.7140	6
1696.86452	566.62982	3	27.1482	3.3543e+05	1	rt_miss	2.0546	3	17.49	85.8068	3
1788.94640	597.65784	3	141.6813	3.3799e+05	1	rt_miss	-12.1878	2	19.46	-101.7745	3
1071.63283	536.82428	2	129.6371	3.4204e+05	1	rt_miss	-16.4337	2	4.40	-16.4337	2
2089.10553	697.71106	3	101.5244	3.4746e+05	1	rt_miss	-0.5671	3	12.28	-47.2890	4
1362.71433	682.36322	2	109.6705	3.4862e+05	1	rt_miss	-1.0167	2	18.18	6.6251	2
2014.01284	504.76294	4	32.5744	3.4972e+05	1	rt_miss	0.5792	3	17.33	42.1382	3
1519.66381	760.84271	2	27.3256	3.5043e+05	1	rt_miss	3.9990	2;3	-11.90	79.1262	2
809.51232	405.76324	2	67.7863	3.5235e+05	1	rt_miss	3.4087	2	-1.46	-9.1778	2
1531.71143	766.86365	2	42.0949	3.5337e+05	1	rt_miss	0.8242	3	19.44	0.8242	3
1020.52803	511.27209	2	120.2776	3.5341e+05	1	rt_miss	-6.0614	2	16.00	6.5821	1
1951.92086	976.97040	2	29.1150	3.5522e+05	1	rt_miss	0.6769	3	-17.13	38.9224	2
1336.66229	446.56155	3	26.8970	3.5531e+05	1	rt_miss	8.0586	2	-19.70	66.0320	2
1513.79879	757.90790	2	114.0243	3.5614e+05	1	rt_miss	0.9121	2	-18.19	-32.0453	3
