decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.4980	0.97786	0.36301	6.9800	0.34699	0.00384
0.5000	0.97784	0.36016	7.0000	0.33743	0.00370
0.5020	0.97784	0.35738	7.0200	0.32744	0.00356
0.5040	0.97782	0.35346	7.0400	0.31848	0.00344
0.5060	0.97779	0.34924	7.0600	0.30950	0.00331
0.5080	0.97778	0.34676	7.0800	0.30038	0.00319
0.5100	0.97777	0.34411	7.1000	0.29174	0.00308
0.5120	0.97775	0.34162	7.1200	0.28272	0.00296
0.5140	0.97773	0.33918	7.1400	0.27439	0.00285
0.5160	0.97771	0.33645	7.1600	0.26571	0.00274
0.5180	0.97771	0.33387	7.1800	0.25719	0.00264
0.5200	0.97769	0.33127	7.2000	0.24921	0.00254
0.5220	0.97769	0.32869	7.2200	0.24129	0.00245
0.5240	0.97767	0.32621	7.2400	0.23408	0.00237
0.5260	0.97766	0.32365	7.2600	0.22667	0.00228
0.5280	0.97766	0.32114	7.2800	0.21997	0.00220
0.5300	0.97762	0.31860	7.3000	0.21335	0.00212
0.5320	0.97758	0.31554	7.3200	0.20712	0.00205
0.5340	0.97754	0.31273	7.3400	0.20108	0.00198
0.5360	0.97752	0.30979	7.3600	0.19499	0.00191
0.5380	0.97750	0.30661	7.3800	0.18936	0.00184
0.5400	0.97749	0.30253	7.4000	0.18381	0.00178
0.5420	0.97748	0.29957	7.4200	0.17855	0.00172
0.5440	0.97744	0.29664	7.4400	0.17371	0.00166
0.5460	0.97742	0.29417	7.4600	0.16908	0.00161
0.5480	0.97740	0.29199	7.4800	0.16449	0.00156
0.5500	0.97738	0.28950	7.5000	0.16023	0.00151
0.5520	0.97737	0.28707	7.5200	0.15635	0.00146
0.5540	0.97732	0.28485	7.5400	0.15203	0.00141
0.5560	0.97731	0.28240	7.5600	0.14786	0.00137
0.5580	0.97727	0.28001	7.5800	0.14412	0.00132
0.5600	0.97724	0.27781	7.6000	0.14025	0.00128
0.5620	0.97721	0.27548	7.6200	0.13660	0.00124
0.5640	0.97719	0.27302	7.6400	0.13292	0.00120
0.5660	0.97716	0.27093	7.6600	0.12902	0.00116
0.5680	0.97712	0.26880	7.6800	0.12563	0.00113
0.5700	0.97710	0.26640	7.7000	0.12197	0.00109
