scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	421.080078	4.3623e4	0
1200	2064	7.60156	421.198547	4.0345e4	0
1200	2064	7.60156	422.047424	1.2125e5	1
1200	2064	7.60156	422.066467	1.0163e6	1
1200	2064	7.60156	422.532379	1.6729e4	0
1200	2064	7.60156	423.052429	2.5676e4	1
1200	2064	7.60156	423.059082	1.5936e6	1
1200	2064	7.60156	423.067169	1.4197e5	1
1200	2064	7.60156	423.228271	8.9994e4	1
1200	2064	7.60156	424.043823	2.6699e4	1
1200	2064	7.60156	424.062439	2.1510e5	1
1200	2064	7.60156	424.070862	2.7684e4	1
1200	2064	7.60156	424.223511	4.8853e4	1
1200	2064	7.60156	424.231354	2.1081e4	1
1200	2064	7.60156	424.541626	2.6392e5	3
1200	2064	7.60156	424.876160	2.4498e5	3
1200	2064	7.60156	425.034454	3.8254e4	0
1200	2064	7.60156	425.047729	1.5859e4	1
1200	2064	7.60156	425.054871	8.8534e4	0
1200	2064	7.60156	425.210632	4.6512e4	3
1200	2064	7.60156	425.226715	2.1912e4	1
1200	2064	7.60156	425.291992	4.5163e4	0
1200	2064	7.60156	426.018280	1.8109e4	0
1200	2064	7.60156	427.050110	3.5985e4	0
1200	2064	7.60156	427.069153	2.5582e4	0
1200	2064	7.60156	429.093170	3.5548e5	1
1200	2064	7.60156	430.093170	1.0854e5	1
1200	2064	7.60156	431.090210	6.7794e4	0
1200	2064	7.60156	431.869812	1.8246e4	0
1200	2064	7.60156	432.029327	2.7176e4	0
1200	2064	7.60156	434.184753	2.8728e4	2
1200	2064	7.60156	434.686707	1.7336e4	2
1200	2064	7.60156	434.875061	3.0102e4	6
1200	2064	7.60156	435.042175	2.0790e4	6
1200	2064	7.60156	435.132843	5.7201e4	0
1200	2064	7.60156	435.205078	2.4836e4	6
1200	2064	7.60156	435.539307	1.5684e4	3
1200	2064	7.60156	435.920227	1.8168e4	0
1200	2064	7.60156	436.046936	1.6259e4	1
1200	2064	7.60156	437.058441	5.2976e5	1
1200	2064	7.60156	437.129150	2.3977e4	0
1200	2064	7.60156	438.061768	6.7161e4	1
1200	2064	7.60156	438.695557	4.9163e5	2
1200	2064	7.60156	438.846527	2.2567e4	0
1200	2064	7.60156	439.054260	6.9452e4	0
1200	2064	7.60156	439.187561	7.4296e4	2
1200	2064	7.60156	439.196960	2.0797e5	2
1200	2064	7.60156	439.689087	4.7278e4	2
1200	2064	7.60156	439.697998	4.0062e4	2
1200	2064	7.60156	440.189941	3.4125e4	2
1200	2064	7.60156	440.692688	2.8287e4	2
1200	2064	7.60156	441.009460	1.7305e4	0
1200	2064	7.60156	441.029907	2.4655e4	3
1200	2064	7.60156	441.188019	1.8842e4	0
1200	2064	7.60156	441.300995	1.4522e4	0
1200	2064	7.60156	442.205261	3.2760e4	2
1200	2064	7.60156	442.410706	1.5027e4	1
1200	2064	7.60156	442.706909	1.4009e4	2
1200	2064	7.60156	442.716736	5.5283e4	2
1200	2064	7.60156	442.903992	1.3369e4	5
1200	2064	7.60156	443.027618	1.7113e5	1
1200	2064	7.60156	443.031311	1.5036e5	0
1200	2064	7.60156	443.045563	2.3263e7	1
1200	2064	7.60156	443.063782	1.1772e5	0
1200	2064	7.60156	443.068848	5.9489e4	6
1200	2064	7.60156	443.144684	1.6636e4	0
1200	2064	7.60156	443.190277	2.5252e4	0
1200	2064	7.60156	443.217926	3.8029e4	2
1200	2064	7.60156	443.411133	1.8866e4	1
1200	2064	7.60156	443.430603	1.6256e4	0
1200	2064	7.60156	444.029694	5.3411e5	1
1200	2064	7.60156	444.048248	2.8998e6	1
1200	2064	7.60156	445.022491	1.0797e5	1
1200	2064	7.60156	445.034180	8.9851e4	1
1200	2064	7.60156	445.041351	4.0365e6	1
1200	2064	7.60156	445.049683	2.9176e5	1
1200	2064	7.60156	445.124451	7.3739e5	1
1200	2064	7.60156	445.255768	1.4609e4	0
1200	2064	7.60156	445.267151	1.3424e4	0
1200	2064	7.60156	445.916870	2.1462e4	0
1200	2064	7.60156	446.025482	9.8937e4	1
1200	2064	7.60156	446.044464	4.6461e5	1
1200	2064	7.60156	446.053131	3.4653e4	1
1200	2064	7.60156	446.124695	1.8853e5	1
1200	2064	7.60156	446.693420	2.2985e4	3
1200	2064	7.60156	447.028473	1.7844e4	1
1200	2064	7.60156	447.037201	2.4276e5	1
1200	2064	7.60156	447.045929	3.5817e4	1
1200	2064	7.60156	447.104492	1.2893e4	4
1200	2064	7.60156	447.121674	1.0384e5	1
1200	2064	7.60156	447.185211	1.6945e4	6
1200	2064	7.60156	447.351501	2.7006e4	4
1200	2064	7.60156	447.847717	1.9630e4	0
1200	2064	7.60156	448.040649	3.5230e4	1
1200	2064	7.60156	448.120911	2.6241e4	1
1200	2064	7.60156	448.260101	4.5736e5	1
1200	2064	7.60156	449.094788	1.8600e4	6
